Country Name,shortName,EFConsPerCap,HDI,Population
"Afghanistan","Afghanistan","0.89","0.48","30682500",
"World","World","2.87","0.69","7181714944",
"Albania","Albania","2.29","0.76","2883281",
"Algeria","Algeria","2.38","0.74","38186136",
"Angola","Angola","0.98","0.53","23448200",
"Antigua and Barbuda","Antigua and Barbuda","4.1","0.78","89985",
"Argentina","Argentina","3.73","0.82","42538304",
"Armenia","Armenia","2.07","0.74","2992192",
"Australia","Australia","8.8","0.94","23270464",
"Austria","Austria","6.11","0.89","8486962",
"Azerbaijan","Azerbaijan","2.3","0.75","9497496",
"Bahamas","Bahamas","4.3","0.79","377841",
"Bahrain","Bahrain","6.43","0.82","1349427",
"Bangladesh","Bangladesh","0.75","0.57","157157392",
"Barbados","Barbados","3.36","0.79","282503",
"Belarus","Belarus","4.63","0.8","9497294",
"Belgium","Belgium","6.89","0.89","11153122",
"Benin","Benin","1.31","0.47","10322232",
"Bhutan","Bhutan","4.61","0.6","754637",
"Bolivia","Bolivia","3.06","0.67","10399931",
"Bosnia and Herzegovina","Bosnia and Herzegovina","3.21","0.74","3823533",
"Botswana","Botswana","3.07","0.7","2176510",
"Brazil","Brazil","3.02","0.75","204259376",
"Brunei Darussalam","Brunei","5.17","0.86","411499",
"Bulgaria","Bulgaria","3.13","0.79","7252539",
"Burkina Faso","Burkina Faso","1.19","0.4","17084556",
"Burundi","Burundi","0.63","0.4","10465959",
"Cabo Verde","Cabo Verde","2.2","0.64","507258",
"Cambodia","Cambodia","1.21","0.55","15078564",
"Cameroon","Cameroon","1.16","0.51","22211166",
"Canada","Canada","8.76","0.91","35230612",
"Central African Republic","Central African Republic","1.14","0.34","4710678",
"Chad","Chad","1.37","0.39","13145788",
"Chile","Chile","4.35","0.84","17575832",
"China","China","3.59","0.72","1393582976",
"Colombia","Colombia","1.89","0.72","47342364",
"Comoros","Comoros","1.05","0.5","751697",
"Congo","Congo","1.26","0.58","4394334",
"Congo, Democratic Republic of","Congo DR","0.75","0.42","72552856",
"Costa Rica","Costa Rica","2.48","0.77","4706433",
"C?te d'Ivoire","Cote d'Ivoire","1.22","0.46","21622490",
"Croatia","Croatia","3.77","0.82","4271497",
"Cuba","Cuba","1.86","0.77","11362505",
"Cyprus","Cyprus","3.31","0.85","1141652",
"Czech Republic","Czech Republic","5.29","0.87","10545314",
"Denmark","Denmark","6.11","0.93","5624293",
"Djibouti","Djibouti","2.79","0.47","864554",
"Dominica","Dominica","2.25","0.72","72005",
"Dominican Republic","Dominican Republic","1.53","0.71","10281408",
"Egypt","Egypt","1.96","0.69","87613904",
"El Salvador","El Salvador","1.89","0.68","6089644",
"Equatorial Guinea","Equatorial Guinea","3.12","0.58","797082",
"Eritrea","Eritrea","0.5","0.42","4998824",
"Estonia","Estonia","7.01","0.86","1320050",
"Ethiopia","Ethiopia","1.01","0.44","94558376",
"Fiji","Fiji","3.33","0.73","880487",
"Finland","Finland","6.73","0.89","5453061",
"France","France","5.06","0.89","63882056",
"Gabon","Gabon","2.45","0.69","1650351",
"Gambia","Gambia","0.92","0.45","1866878",
"Georgia","Georgia","1.73","0.76","4082727",
"Germany","Germany","5.46","0.92","80565856",
"Ghana","Ghana","1.92","0.58","26164432",
"Greece","Greece","4.21","0.86","11055164",
"Grenada","Grenada","3.05","0.75","105902",
"Guatemala","Guatemala","1.7","0.61","15690793",
"Guinea","Guinea","1.37","0.41","11948726",
"Guinea-Bissau","Guinea-Bissau","1.31","0.42","1757138",
"Guyana","Guyana","3.32","0.64","761033",
"Haiti","Haiti","0.61","0.49","10431249",
"Honduras","Honduras","1.71","0.62","7849059",
"Hungary","Hungary","3.26","0.83","9924507",
"India","India","1.06","0.61","1279498880",
"Indonesia","Indonesia","1.45","0.68","251268288",
"Iran, Islamic Republic of","Iran","3","0.77","77152448",
"Iraq","Iraq","1.9","0.66","34107368",
"Ireland","Ireland","4.8","0.91","4671263",
"Israel","Israel","5.96","0.89","7817818",
"Italy","Italy","4.5","0.88","59803284",
"Jamaica","Jamaica","1.89","0.73","2773215",
"Japan","Japan","4.99","0.9","126984960",
"Jordan","Jordan","2.05","0.74","7214832",
"Kazakhstan","Kazakhstan","6.49","0.79","17099548",
"Kenya","Kenya","1.03","0.55","43692884",
"Kuwait","Kuwait","8.22","0.79","3593689",
"Kyrgyzstan","Kyrgyzstan","1.87","0.66","5745698",
"Lao People's Democratic Republic","Laos","1.46","0.57","6579985",
"Latvia","Latvia","6.53","0.82","2011857",
"Lebanon","Lebanon","3.38","0.76","5286990",
"Lesotho","Lesotho","1.43","0.49","2083061",
"Liberia","Liberia","1.14","0.43","4293692",
"Libyan Arab Jamahiriya","Libya","4.41","0.73","6265987",
"Lithuania","Lithuania","6.18","0.84","2963810",
"Luxembourg","Luxembourg","13.09","0.89","544885",
"Macedonia TFYR","Macedonia","3.06","0.74","2072543",
"Madagascar","Madagascar","0.95","0.51","22924556",
"Malawi","Malawi","0.82","0.47","16190126",
"Malaysia","Malaysia","4.21","0.78","29465372",
"Mali","Mali","1.3","0.43","16592098",
"Malta","Malta","4.45","0.85","416747",
"Mauritania","Mauritania","2.43","0.51","3872684",
"Mauritius","Mauritius","3.33","0.77","1263560",
