Country Name,shortName,EFConsPerCap,HDI,Population
"Afghanistan","Afghanistan","0.89","0.48","30682500",
"Albania","Albania","2.29","0.76","2883281",
"Algeria","Algeria","2.38","0.74","38186136",
"Angola","Angola","0.98","0.53","23448200",
"Antigua and Barbuda","Antigua and Barbuda","4.1","0.78","89985",
"Argentina","Argentina","3.73","0.82","42538304",
"Armenia","Armenia","2.07","0.74","2992192",
"Australia","Australia","8.8","0.94","23270464",
"Austria","Austria","6.11","0.89","8486962",
"Azerbaijan","Azerbaijan","2.3","0.75","9497496",
"Bahamas","Bahamas","4.3","0.79","377841",
"Bahrain","Bahrain","6.43","0.82","1349427",
"Bangladesh","Bangladesh","0.75","0.57","157157392",
"Barbados","Barbados","3.36","0.79","282503",
